issf_core_id,category,,year,country
562,Social/Cultural,Sub-national,1989,Canada
562,Governance,Sub-national,1989,Canada
562,Governance,Sub-national,1989,Canada
695,Economic,Sub-national,1989,Malaysia
695,Economic,Sub-national,1989,Malaysia
695,Social/Cultural,Sub-national,1989,Malaysia
925,Governance,Sub-national,1989,Norway
925,Governance,Sub-national,1989,Norway
925,Governance,Sub-national,1989,Norway
206,Ecological,Sub-national,1990,Uganda
298,Social/Cultural,National,1990,Canada
298,Social/Cultural,National,1990,Canada
298,Governance,National,1990,Canada
298,Governance,National,1990,Canada
298,Governance,National,1990,Canada
298,Governance,National,1990,Canada
356,Governance,Sub-national,1990,Canada
356,Governance,Sub-national,1990,Canada
356,Governance,Sub-national,1990,Canada
356,Governance,Sub-national,1990,Canada
366,Social/Cultural,Sub-national,1990,Canada
366,Governance,Sub-national,1990,Canada
366,Governance,Sub-national,1990,Canada
598,Economic,Local,1990,Canada
598,Social/Cultural,Local,1990,Canada
598,Social/Cultural,Local,1990,Canada
598,Governance,Local,1990,Canada
598,Governance,Local,1990,Canada
619,Economic,Local,1990,Thailand
619,Ecological,Local,1990,Thailand
619,Social/Cultural,Local,1990,Thailand
619,Social/Cultural,Local,1990,Thailand
619,Social/Cultural,Local,1990,Thailand
1022,Social/Cultural,Sub-national,1990,India
1022,Social/Cultural,Sub-national,1990,India
2207,Ecological,National,1990,Senegal
2207,Ecological,National,1990,Senegal
2207,Ecological,National,1990,Senegal
2207,Social/Cultural,National,1990,Senegal
2207,Social/Cultural,National,1990,Senegal
2207,Social/Cultural,National,1990,Senegal
2207,Governance,National,1990,Senegal
2207,Governance,National,1990,Senegal
2207,Governance,National,1990,Senegal
2207,Governance,National,1990,Senegal
8,Economic,Sub-national,1991,Norway
8,Economic,Sub-national,1991,Norway
8,Economic,Sub-national,1991,Norway
8,Economic,Sub-national,1991,Norway
8,Ecological,Sub-national,1991,Norway
8,Social/Cultural,Sub-national,1991,Norway
8,Social/Cultural,Sub-national,1991,Norway
8,Social/Cultural,Sub-national,1991,Norway
8,Social/Cultural,Sub-national,1991,Norway
8,Governance,Sub-national,1991,Norway
8,Governance,Sub-national,1991,Norway
8,Governance,Sub-national,1991,Norway
95,Social/Cultural,Sub-national,1992,United States of America
95,Social/Cultural,Sub-national,1992,United States of America
95,Governance,Sub-national,1992,United States of America
95,Governance,Sub-national,1992,United States of America
138,Economic,Sub-national,1992,Canada
138,Governance,Sub-national,1992,Canada
138,Governance,Sub-national,1992,Canada
138,Governance,Sub-national,1992,Canada
155,Governance,Sub-national,1992,Canada
155,Governance,Sub-national,1992,Canada
155,Governance,Sub-national,1992,Canada
548,Economic,National,1992,Martinique
927,Social/Cultural,Sub-national,1992,Canada
927,Social/Cultural,Sub-national,1992,Canada
927,Social/Cultural,Sub-national,1992,Canada
997,Ecological,Sub-national,1992,Philippines
997,Social/Cultural,Sub-national,1992,Philippines
997,Social/Cultural,Sub-national,1992,Philippines
997,Governance,Sub-national,1992,Philippines
997,Governance,Sub-national,1992,Philippines
997,Governance,Sub-national,1992,Philippines
1038,Ecological,Local,1992,India
1038,Governance,Local,1992,India
88,Social/Cultural,Sub-national,1993,Canada
88,Social/Cultural,Sub-national,1993,Canada
88,Social/Cultural,Sub-national,1993,Canada
88,Social/Cultural,Sub-national,1993,Canada
88,Governance,Sub-national,1993,Canada
359,Governance,Sub-national,1993,Canada
359,Governance,Sub-national,1993,Canada
371,Ecological,Local,1993,Canada
371,Ecological,Local,1993,Canada
454,Ecological,Sub-national,1993,Norway
454,Ecological,Sub-national,1993,Norway
454,Social/Cultural,Sub-national,1993,Norway
454,Social/Cultural,Sub-national,1993,Norway
454,Social/Cultural,Sub-national,1993,Norway
454,Governance,Sub-national,1993,Norway
454,Governance,Sub-national,1993,Norway
454,Governance,Sub-national,1993,Norway
454,Governance,Sub-national,1993,Norway
454,Governance,Sub-national,1993,Norway
454,Governance,Sub-national,1993,Norway
582,Economic,Sub-national,1993,Thailand
582,Ecological,Sub-national,1993,Thailand
582,Social/Cultural,Sub-national,1993,Thailand
582,Governance,Sub-national,1993,Thailand
797,Ecological,National,1993,Iceland
797,Social/Cultural,National,1993,Iceland
797,Social/Cultural,National,1993,Iceland
827,Social/Cultural,Local,1993,Mexico
827,Social/Cultural,Local,1993,Mexico
827,Governance,Local,1993,Mexico
827,Governance,Local,1993,Mexico
827,Governance,Local,1993,Mexico
827,Governance,Local,1993,Mexico
827,Governance,Local,1993,Mexico
951,Social/Cultural,Sub-national,1993,United States of America
1016,Governance,Sub-national,1993,Indonesia
1016,Governance,Sub-national,1993,Indonesia
1016,Governance,Sub-national,1993,Indonesia
1051,Economic,National,1993,Samoa
1051,Ecological,National,1993,Samoa
1051,Governance,National,1993,Samoa
57,Economic,Sub-national,1994,United States of America
57,Economic,Sub-national,1994,United States of America
57,Social/Cultural,Sub-national,1994,United States of America
57,Governance,Sub-national,1994,United States of America
57,Governance,Sub-national,1994,United States of America
57,Governance,Sub-national,1994,United States of America
102,Social/Cultural,Local,1994,Canada
102,Social/Cultural,Local,1994,Canada
115,Ecological,National,1994,United States of America
115,Ecological,National,1994,United States of America
115,Ecological,National,1994,United States of America
115,Governance,National,1994,United States of America
115,Governance,National,1994,United States of America
139,Economic,National,1994,United States of America
139,Governance,National,1994,United States of America
139,Governance,National,1994,United States of America
139,Governance,National,1994,United States of America
210,Ecological,Sub-national,1994,Canada
210,Ecological,Sub-national,1994,Canada
616,Economic,Sub-national,1994,Kenya
616,Ecological,Sub-national,1994,Kenya
616,Ecological,Sub-national,1994,Kenya
616,Ecological,Sub-national,1994,Kenya
616,Ecological,Sub-national,1994,Kenya
616,Governance,Sub-national,1994,Kenya
922,Governance,Sub-national,1994,Canada
922,Governance,Sub-national,1994,Canada
940,Ecological,National,1994,Ireland
940,Ecological,National,1994,Ireland
948,Ecological,National,1994,Russian Federation
948,Ecological,National,1994,Russian Federation
948,Ecological,National,1994,Russian Federation
96,Economic,Sub-national,1995,Canada
96,Social/Cultural,Sub-national,1995,Canada
96,Social/Cultural,Sub-national,1995,Canada
96,Social/Cultural,Sub-national,1995,Canada
105,Social/Cultural,National,1995,Canada
105,Governance,National,1995,Canada
105,Governance,National,1995,Canada
144,Economic,Sub-national,1995,United States of America
144,Governance,Sub-national,1995,United States of America
144,Governance,Sub-national,1995,United States of America
144,Governance,Sub-national,1995,United States of America
145,Social/Cultural,Sub-national,1995,United States of America
145,Social/Cultural,Sub-national,1995,United States of America
145,Social/Cultural,Sub-national,1995,United States of America
145,Governance,Sub-national,1995,United States of America
145,Governance,Sub-national,1995,United States of America
196,Social/Cultural,National,1995,Canada
196,Governance,National,1995,Canada
196,Governance,National,1995,Canada
196,Governance,National,1995,Canada
196,Governance,National,1995,Canada
196,Governance,National,1995,Canada
443,Economic,National,1995,Madagascar
443,Economic,National,1995,Madagascar
471,Governance,Sub-national,1995,Canada
471,Governance,Sub-national,1995,Canada
471,Governance,Sub-national,1995,Canada
506,Economic,National,1995,Malawi
506,Economic,National,1995,Malawi
506,Ecological,National,1995,Malawi
506,Ecological,National,1995,Malawi
506,Social/Cultural,National,1995,Malawi
506,Governance,National,1995,Malawi
518,Economic,Sub-national,1995,Turkey
518,Economic,Sub-national,1995,Turkey
518,Ecological,Sub-national,1995,Turkey
518,Ecological,Sub-national,1995,Turkey
518,Social/Cultural,Sub-national,1995,Turkey
518,Social/Cultural,Sub-national,1995,Turkey
518,Social/Cultural,Sub-national,1995,Turkey
518,Social/Cultural,Sub-national,1995,Turkey
518,Social/Cultural,Sub-national,1995,Turkey
518,Governance,Sub-national,1995,Turkey
518,Governance,Sub-national,1995,Turkey
518,Governance,Sub-national,1995,Turkey
601,Social/Cultural,Local,1995,Nigeria
672,Ecological,Sub-national,1995,Philippines
672,Ecological,Sub-national,1995,Philippines
675,Social/Cultural,National,1995,Sweden
692,Economic,Local,1995,Malaysia
692,Social/Cultural,Local,1995,Malaysia
799,Governance,National,1995,Iceland
799,Governance,National,1995,Iceland
870,Ecological,Sub-national,1995,Niger
870,Ecological,Sub-national,1995,Niger
870,Ecological,Sub-national,1995,Niger
870,Ecological,Sub-national,1995,Niger
954,Social/Cultural,Sub-national,1995,Norway
3727,Economic,National,1995,Austria
3727,Economic,National,1995,Austria
3727,Ecological,National,1995,Austria
46,Ecological,Sub-national,1996,United States of America
46,Ecological,Sub-national,1996,United States of America
46,Ecological,Sub-national,1996,United States of America
46,Ecological,Sub-national,1996,United States of America
46,Social/Cultural,Sub-national,1996,United States of America
46,Social/Cultural,Sub-national,1996,United States of America
46,Social/Cultural,Sub-national,1996,United States of America
46,Social/Cultural,Sub-national,1996,United States of America
46,Governance,Sub-national,1996,United States of America
46,Governance,Sub-national,1996,United States of America
46,Governance,Sub-national,1996,United States of America
46,Governance,Sub-national,1996,United States of America
46,Governance,Sub-national,1996,United States of America
46,Governance,Sub-national,1996,United States of America
46,Governance,Sub-national,1996,United States of America
158,Governance,Sub-national,1996,United States of America
158,Governance,Sub-national,1996,United States of America
158,Governance,Sub-national,1996,United States of America
662,Ecological,Local,1996,Philippines
662,Ecological,Local,1996,Philippines
729,Ecological,Local,1996,South Africa
729,Ecological,Local,1996,South Africa
752,Economic,National,1996,Iceland
752,Social/Cultural,National,1996,Iceland
752,Social/Cultural,National,1996,Iceland
752,Social/Cultural,National,1996,Iceland
755,Governance,Sub-national,1996,Greece
762,Ecological,Local,1996,United Republic of Tanzania
762,Ecological,Local,1996,United Republic of Tanzania
762,Ecological,Local,1996,United Republic of Tanzania
931,Ecological,Sub-national,1996,Portugal
936,Ecological,Sub-national,1996,Portugal
936,Ecological,Sub-national,1996,Portugal
1023,Economic,Local,1996,India
1023,Ecological,Local,1996,India
1023,Social/Cultural,Local,1996,India
1037,Ecological,Sub-national,1996,India
1037,Ecological,Sub-national,1996,India
176,Social/Cultural,Local,1997,United States of America
176,Social/Cultural,Local,1997,United States of America
176,Social/Cultural,Local,1997,United States of America
176,Governance,Local,1997,United States of America
176,Governance,Local,1997,United States of America
188,Economic,Sub-national,1997,Kenya
188,Social/Cultural,Sub-national,1997,Kenya
188,Social/Cultural,Sub-national,1997,Kenya
188,Social/Cultural,Sub-national,1997,Kenya
188,Social/Cultural,Sub-national,1997,Kenya
305,Economic,National,1997,South Africa
305,Ecological,National,1997,South Africa
305,Governance,National,1997,South Africa
313,Economic,National,1997,South Africa
313,Economic,National,1997,South Africa
313,Governance,National,1997,South Africa
313,Governance,National,1997,South Africa
313,Governance,National,1997,South Africa
313,Governance,National,1997,South Africa
313,Governance,National,1997,South Africa
352,Economic,National,1997,Kenya
352,Ecological,National,1997,Kenya
352,Ecological,National,1997,Kenya
352,Ecological,National,1997,Kenya
352,Social/Cultural,National,1997,Kenya
352,Governance,National,1997,Kenya
352,Governance,National,1997,Kenya
374,Ecological,Sub-national,1997,Canada
374,Ecological,Sub-national,1997,Canada
374,Ecological,Sub-national,1997,Canada
374,Ecological,Sub-national,1997,Canada
510,Ecological,National,1997,Kenya
510,Ecological,National,1997,Kenya
510,Ecological,National,1997,Kenya
510,Governance,National,1997,Kenya
516,Governance,Local,1997,United Kingdom
516,Governance,Local,1997,United Kingdom
516,Governance,Local,1997,United Kingdom
516,Governance,Local,1997,United Kingdom
516,Governance,Local,1997,United Kingdom
516,Governance,Local,1997,United Kingdom
517,Governance,National,1997,United Kingdom
517,Governance,National,1997,United Kingdom
574,Ecological,Sub-national,1997,South Africa
574,Ecological,Sub-national,1997,South Africa
574,Social/Cultural,Sub-national,1997,South Africa
698,Social/Cultural,National,1997,Poland
698,Social/Cultural,National,1997,Poland
698,Governance,National,1997,Poland
698,Governance,National,1997,Poland
831,Ecological,National,1997,South Africa
831,Governance,National,1997,South Africa
862,Economic,National,1997,South Africa
862,Ecological,National,1997,South Africa
862,Ecological,National,1997,South Africa
862,Governance,National,1997,South Africa
862,Governance,National,1997,South Africa
862,Governance,National,1997,South Africa
871,Ecological,Local,1997,Cote d'Ivoire
871,Ecological,Local,1997,Cote d'Ivoire
871,Ecological,Local,1997,Cote d'Ivoire
871,Ecological,Local,1997,Cote d'Ivoire
888,Governance,National,1997,South Africa
888,Governance,National,1997,South Africa
911,Ecological,National,1997,Lithuania
911,Ecological,National,1997,Lithuania
55,Ecological,Sub-national,1998,Canada
55,Ecological,Sub-national,1998,Canada
55,Ecological,Sub-national,1998,Canada
55,Governance,Sub-national,1998,Canada
148,Economic,Local,1998,Chile
148,Ecological,Local,1998,Chile
148,Ecological,Local,1998,Chile
148,Ecological,Local,1998,Chile
148,Ecological,Local,1998,Chile
148,Ecological,Local,1998,Chile
148,Governance,Local,1998,Chile
148,Governance,Local,1998,Chile
148,Governance,Local,1998,Chile
148,Governance,Local,1998,Chile
148,Governance,Local,1998,Chile
148,Governance,Local,1998,Chile
148,Governance,Local,1998,Chile
199,Ecological,National,1998,Canada
199,Ecological,National,1998,Canada
199,Ecological,National,1998,Canada
199,Ecological,National,1998,Canada
199,Ecological,National,1998,Canada
304,Ecological,Local,1998,Malawi
304,Ecological,Local,1998,Malawi
304,Governance,Local,1998,Malawi
342,Ecological,National,1998,Nigeria
342,Social/Cultural,National,1998,Nigeria
342,Social/Cultural,National,1998,Nigeria
342,Governance,National,1998,Nigeria
342,Governance,National,1998,Nigeria
342,Governance,National,1998,Nigeria
342,Governance,National,1998,Nigeria
342,Governance,National,1998,Nigeria
399,Economic,National,1998,Canada
399,Governance,National,1998,Canada
413,Ecological,National,1998,Zambia
413,Governance,National,1998,Zambia
413,Governance,National,1998,Zambia
434,Governance,Sub-national,1998,Canada
473,Ecological,Local,1998,Colombia
473,Ecological,Local,1998,Colombia
473,Ecological,Local,1998,Colombia
474,Governance,National,1998,Barbados
474,Governance,National,1998,Barbados
585,Economic,Local,1998,Chile
585,Economic,Local,1998,Chile
585,Ecological,Local,1998,Chile
585,Ecological,Local,1998,Chile
585,Ecological,Local,1998,Chile
585,Social/Cultural,Local,1998,Chile
585,Social/Cultural,Local,1998,Chile
585,Governance,Local,1998,Chile
585,Governance,Local,1998,Chile
585,Governance,Local,1998,Chile
585,Governance,Local,1998,Chile
585,Governance,Local,1998,Chile
585,Governance,Local,1998,Chile
585,Governance,Local,1998,Chile
626,Social/Cultural,National,1998,Finland
626,Governance,National,1998,Finland
626,Governance,National,1998,Finland
626,Governance,National,1998,Finland
669,Ecological,Sub-national,1998,Philippines
669,Governance,Sub-national,1998,Philippines
669,Governance,Sub-national,1998,Philippines
720,Economic,Sub-national,1998,Mexico
720,Ecological,Sub-national,1998,Mexico
720,Social/Cultural,Sub-national,1998,Mexico
751,Ecological,Sub-national,1998,Solomon Islands
751,Ecological,Sub-national,1998,Solomon Islands
751,Ecological,Sub-national,1998,Solomon Islands
751,Governance,Sub-national,1998,Solomon Islands
769,Economic,Local,1998,Chile
769,Economic,Local,1998,Chile
769,Ecological,Local,1998,Chile
769,Ecological,Local,1998,Chile
769,Governance,Local,1998,Chile
812,Ecological,National,1998,Turkey
812,Ecological,National,1998,Turkey
812,Governance,National,1998,Turkey
812,Governance,National,1998,Turkey
863,Economic,National,1998,South Africa
863,Economic,National,1998,South Africa
863,Ecological,National,1998,South Africa
863,Ecological,National,1998,South Africa
863,Governance,National,1998,South Africa
863,Governance,National,1998,South Africa
863,Governance,National,1998,South Africa
863,Governance,National,1998,South Africa
913,Governance,Local,1998,Turkey
913,Governance,Local,1998,Turkey
946,Ecological,Local,1998,Finland
946,Social/Cultural,Local,1998,Finland
946,Social/Cultural,Local,1998,Finland
994,Economic,Local,1998,Fiji
994,Ecological,Local,1998,Fiji
994,Social/Cultural,Local,1998,Fiji
994,Social/Cultural,Local,1998,Fiji
994,Social/Cultural,Local,1998,Fiji
994,Governance,Local,1998,Fiji
994,Governance,Local,1998,Fiji
994,Governance,Local,1998,Fiji
994,Governance,Local,1998,Fiji
994,Governance,Local,1998,Fiji
1014,Social/Cultural,National,1998,Viet Nam
1014,Governance,National,1998,Viet Nam
1014,Governance,National,1998,Viet Nam
1018,Ecological,Sub-national,1998,Fiji
1019,Economic,Sub-national,1998,Malaysia
1019,Economic,Sub-national,1998,Malaysia
1019,Social/Cultural,Sub-national,1998,Malaysia
1019,Governance,Sub-national,1998,Malaysia
1024,Economic,Sub-national,1998,India
1024,Social/Cultural,Sub-national,1998,India
335,Economic,National,1999,Jamaica
335,Economic,National,1999,Jamaica
335,Economic,National,1999,Jamaica
335,Ecological,National,1999,Jamaica
335,Ecological,National,1999,Jamaica
335,Social/Cultural,National,1999,Jamaica
335,Governance,National,1999,Jamaica
335,Governance,National,1999,Jamaica
335,Governance,National,1999,Jamaica
335,Governance,National,1999,Jamaica
335,Governance,National,1999,Jamaica
335,Governance,National,1999,Jamaica
370,Economic,Sub-national,1999,United States of America
370,Ecological,Sub-national,1999,United States of America
370,Social/Cultural,Sub-national,1999,United States of America
370,Governance,Sub-national,1999,United States of America
407,Governance,Sub-national,1999,Canada
407,Governance,Sub-national,1999,Canada
465,Governance,Local,1999,United States of America
465,Governance,Local,1999,United States of America
465,Governance,Local,1999,United States of America
491,Economic,Local,1999,Jamaica
491,Social/Cultural,Local,1999,Jamaica
491,Social/Cultural,Local,1999,Jamaica
491,Social/Cultural,Local,1999,Jamaica
491,Social/Cultural,Local,1999,Jamaica
491,Governance,Local,1999,Jamaica
491,Governance,Local,1999,Jamaica
491,Governance,Local,1999,Jamaica
491,Governance,Local,1999,Jamaica
513,Economic,Local,1999,Mexico
513,Ecological,Local,1999,Mexico
513,Ecological,Local,1999,Mexico
513,Ecological,Local,1999,Mexico
513,Social/Cultural,Local,1999,Mexico
513,Social/Cultural,Local,1999,Mexico
513,Social/Cultural,Local,1999,Mexico
513,Governance,Local,1999,Mexico
513,Governance,Local,1999,Mexico
513,Governance,Local,1999,Mexico
513,Governance,Local,1999,Mexico
513,Governance,Local,1999,Mexico
513,Governance,Local,1999,Mexico
513,Governance,Local,1999,Mexico
630,Economic,National,1999,Finland
630,Economic,National,1999,Finland
631,Ecological,National,1999,Finland
631,Governance,National,1999,Finland
735,Economic,National,1999,South Africa
735,Ecological,National,1999,South Africa
735,Ecological,National,1999,South Africa
761,Economic,Local,1999,South Africa
761,Ecological,Local,1999,South Africa
761,Social/Cultural,Local,1999,South Africa
761,Social/Cultural,Local,1999,South Africa
761,Governance,Local,1999,South Africa
761,Governance,Local,1999,South Africa
787,Governance,National,1999,Denmark
787,Governance,National,1999,Denmark
787,Governance,National,1999,Denmark
861,Economic,National,1999,South Africa
861,Governance,National,1999,South Africa
867,Governance,National,1999,Nigeria
867,Governance,National,1999,Nigeria
867,Governance,National,1999,Nigeria
867,Governance,National,1999,Nigeria
867,Governance,National,1999,Nigeria
867,Governance,National,1999,Nigeria
869,Economic,Local,1999,South Africa
869,Ecological,Local,1999,South Africa
869,Ecological,Local,1999,South Africa
869,Governance,Local,1999,South Africa
869,Governance,Local,1999,South Africa
869,Governance,Local,1999,South Africa
883,Ecological,National,1999,Kenya
883,Ecological,National,1999,Kenya
883,Ecological,National,1999,Kenya
883,Ecological,National,1999,Kenya
941,Social/Cultural,Sub-national,1999,United States of America
950,Ecological,Sub-national,1999,Argentina
950,Ecological,Sub-national,1999,Argentina
14,Economic,National,2000,Canada
14,Ecological,National,2000,Canada
14,Ecological,National,2000,Canada
14,Ecological,National,2000,Canada
14,Governance,National,2000,Canada
14,Governance,National,2000,Canada
73,Governance,National,2000,United States of America
73,Governance,National,2000,United States of America
73,Governance,National,2000,United States of America
73,Governance,National,2000,United States of America
73,Governance,National,2000,United States of America
84,Ecological,Sub-national,2000,United States of America
84,Ecological,Sub-national,2000,United States of America
84,Ecological,Sub-national,2000,United States of America
84,Ecological,Sub-national,2000,United States of America
84,Ecological,Sub-national,2000,United States of America
84,Social/Cultural,Sub-national,2000,United States of America
84,Governance,Sub-national,2000,United States of America
84,Governance,Sub-national,2000,United States of America
128,Ecological,Local,2000,Nigeria
128,Ecological,Local,2000,Nigeria
128,Ecological,Local,2000,Nigeria
182,Economic,Sub-national,2000,Colombia
